dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.5, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.6450, TestAcc: 0.8420, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.5, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.6474, TestAcc: 0.8440, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.2, dropfeature_rate: 0.5, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.6530, TestAcc: 0.8470, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.3, dropfeature_rate: 0.0, dropedge_rate: 0.0, alpha: 0.5, Loss: 1.1172, TestAcc: 0.8470, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.3, dropfeature_rate: 0.0, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.7939, TestAcc: 0.8510, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.3, dropfeature_rate: 0.0, dropedge_rate: 0.2, alpha: 0.5, Loss: 0.8020, TestAcc: 0.8440, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.3, dropfeature_rate: 0.0, dropedge_rate: 0.3, alpha: 0.5, Loss: 0.8065, TestAcc: 0.8520, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.3, dropfeature_rate: 0.0, dropedge_rate: 0.4, alpha: 0.5, Loss: 0.8198, TestAcc: 0.8450, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.3, dropfeature_rate: 0.0, dropedge_rate: 0.5, alpha: 0.5, Loss: 0.8252, TestAcc: 0.8520, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.3, dropfeature_rate: 0.1, dropedge_rate: 0.0, alpha: 0.5, Loss: 0.7845, TestAcc: 0.8510, Overall
dataset: cora, lr: 0.01, epochs: 5000, hidden: 32, tem: 0.5, lam: 1.0, dropnode_rate: 0.3, dropfeature_rate: 0.1, dropedge_rate: 0.1, alpha: 0.5, Loss: 0.6835, TestAcc: 0.8430, Overall
